,sno,date of event,country,loc_list,loc_list_a,reported region/places,row_idx,report type
13,175,20241017,South Sudan, Upper Nile,Upper Nile,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_13,South Sudan Floods - Emergency Appeal (MDRSS014)
13,175,20241017,South Sudan, Warrap,Upper Nile,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_13,South Sudan Floods - Emergency Appeal (MDRSS014)
14,175,20241017,South Sudan,38 counties,Warrap,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_14,South Sudan Floods - Emergency Appeal (MDRSS014)
14,175,20241017,South Sudan, Jonglei,Warrap,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_14,South Sudan Floods - Emergency Appeal (MDRSS014)
14,175,20241017,South Sudan, Northern Bahr el Ghazal,Warrap,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_14,South Sudan Floods - Emergency Appeal (MDRSS014)
14,175,20241017,South Sudan, Unity,Warrap,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_14,South Sudan Floods - Emergency Appeal (MDRSS014)
14,175,20241017,South Sudan, Upper Nile,Warrap,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_14,South Sudan Floods - Emergency Appeal (MDRSS014)
14,175,20241017,South Sudan, Warrap,Warrap,"38 counties, Jonglei, Northern Bahr el Ghazal, Unity, Upper Nile, Warrap",fl_14,South Sudan Floods - Emergency Appeal (MDRSS014)
15,176,20241019,South Sudan,Northern Bahr el Ghazal,Northern Bahr el Ghazal,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_15,Over 1 million people affected by flooding in South Sudan
15,176,20241019,South Sudan, Unity,Northern Bahr el Ghazal,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_15,Over 1 million people affected by flooding in South Sudan
15,176,20241019,South Sudan, 42 counties across South Sudan,Northern Bahr el Ghazal,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_15,Over 1 million people affected by flooding in South Sudan
16,176,20241019,South Sudan,Northern Bahr el Ghazal,Unity,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_16,Over 1 million people affected by flooding in South Sudan
16,176,20241019,South Sudan, Unity,Unity,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_16,Over 1 million people affected by flooding in South Sudan
16,176,20241019,South Sudan, 42 counties across South Sudan,Unity,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_16,Over 1 million people affected by flooding in South Sudan
17,176,20241019,South Sudan,Northern Bahr el Ghazal,42 counties across South Sudan,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_17,Over 1 million people affected by flooding in South Sudan
17,176,20241019,South Sudan, Unity,42 counties across South Sudan,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_17,Over 1 million people affected by flooding in South Sudan
17,176,20241019,South Sudan, 42 counties across South Sudan,42 counties across South Sudan,"Northern Bahr el Ghazal, Unity, 42 counties across South Sudan",fl_17,Over 1 million people affected by flooding in South Sudan
18,178,20241018,South Sudan,South Sudan,South Sudan,South Sudan,fl_18,Satellite Image Report
19,217,20241001,Somalia,National,National,"National, Somalia",fl_19,Drought Risk
19,217,20241001,Somalia, Somalia,National,"National, Somalia",fl_19,Drought Risk
20,217,20241001,Somalia,National,Somalia,"National, Somalia",fl_20,Drought Risk
20,217,20241001,Somalia, Somalia,Somalia,"National, Somalia",fl_20,Drought Risk
21,231,20241002,South Sudan,Mangar Ajak,Mangar Ajak,"Mangar Ajak, Gogrial West County",fl_21,Flood Displacement
21,231,20241002,South Sudan, Gogrial West County,Mangar Ajak,"Mangar Ajak, Gogrial West County",fl_21,Flood Displacement
22,231,20241002,South Sudan,Mangar Ajak,Gogrial West County,"Mangar Ajak, Gogrial West County",fl_22,Flood Displacement
22,231,20241002,South Sudan, Gogrial West County,Gogrial West County,"Mangar Ajak, Gogrial West County",fl_22,Flood Displacement
23,232,20241001,South Sudan,Akon International Airport,Akon International Airport,"Akon International Airport, Gogrial West County, Warrap State",fl_23,Floods
23,232,20241001,South Sudan, Gogrial West County,Akon International Airport,"Akon International Airport, Gogrial West County, Warrap State",fl_23,Floods
23,232,20241001,South Sudan, Warrap State,Akon International Airport,"Akon International Airport, Gogrial West County, Warrap State",fl_23,Floods
24,232,20241001,South Sudan,Akon International Airport,Gogrial West County,"Akon International Airport, Gogrial West County, Warrap State",fl_24,Floods
24,232,20241001,South Sudan, Gogrial West County,Gogrial West County,"Akon International Airport, Gogrial West County, Warrap State",fl_24,Floods
24,232,20241001,South Sudan, Warrap State,Gogrial West County,"Akon International Airport, Gogrial West County, Warrap State",fl_24,Floods
25,232,20241001,South Sudan,Akon International Airport,Warrap State,"Akon International Airport, Gogrial West County, Warrap State",fl_25,Floods
25,232,20241001,South Sudan, Gogrial West County,Warrap State,"Akon International Airport, Gogrial West County, Warrap State",fl_25,Floods
25,232,20241001,South Sudan, Warrap State,Warrap State,"Akon International Airport, Gogrial West County, Warrap State",fl_25,Floods
26,233,20241001,South Sudan,South Sudan (White Nile and Tributaries),South Sudan (White Nile,South Sudan (White Nile and Tributaries),fl_26,Flood Assistance
27,233,20241001,South Sudan,South Sudan (White Nile and Tributaries),Tributaries),South Sudan (White Nile and Tributaries),fl_27,Flood Assistance
28,234,20241003,South Sudan,Nationwide (Jonglei,Nationwide (Jonglei,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_28,National Disaster Declaration
28,234,20241003,South Sudan, Upper Nile,Nationwide (Jonglei,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_28,National Disaster Declaration
28,234,20241003,South Sudan, Unity,Nationwide (Jonglei,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_28,National Disaster Declaration
28,234,20241003,South Sudan, Warrap,Nationwide (Jonglei,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_28,National Disaster Declaration
28,234,20241003,South Sudan, Northern Bahr El Ghazal,Nationwide (Jonglei,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_28,National Disaster Declaration
28,234,20241003,South Sudan, Abyei),Nationwide (Jonglei,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_28,National Disaster Declaration
29,234,20241003,South Sudan,Nationwide (Jonglei,Upper Nile,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_29,National Disaster Declaration
29,234,20241003,South Sudan, Upper Nile,Upper Nile,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_29,National Disaster Declaration
29,234,20241003,South Sudan, Unity,Upper Nile,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_29,National Disaster Declaration
29,234,20241003,South Sudan, Warrap,Upper Nile,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_29,National Disaster Declaration
29,234,20241003,South Sudan, Northern Bahr El Ghazal,Upper Nile,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_29,National Disaster Declaration
29,234,20241003,South Sudan, Abyei),Upper Nile,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_29,National Disaster Declaration
30,234,20241003,South Sudan,Nationwide (Jonglei,Unity,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_30,National Disaster Declaration
30,234,20241003,South Sudan, Upper Nile,Unity,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_30,National Disaster Declaration
30,234,20241003,South Sudan, Unity,Unity,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_30,National Disaster Declaration
30,234,20241003,South Sudan, Warrap,Unity,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_30,National Disaster Declaration
30,234,20241003,South Sudan, Northern Bahr El Ghazal,Unity,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_30,National Disaster Declaration
30,234,20241003,South Sudan, Abyei),Unity,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_30,National Disaster Declaration
31,234,20241003,South Sudan,Nationwide (Jonglei,Warrap,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_31,National Disaster Declaration
31,234,20241003,South Sudan, Upper Nile,Warrap,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_31,National Disaster Declaration
31,234,20241003,South Sudan, Unity,Warrap,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_31,National Disaster Declaration
31,234,20241003,South Sudan, Warrap,Warrap,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_31,National Disaster Declaration
31,234,20241003,South Sudan, Northern Bahr El Ghazal,Warrap,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_31,National Disaster Declaration
31,234,20241003,South Sudan, Abyei),Warrap,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_31,National Disaster Declaration
32,234,20241003,South Sudan,Nationwide (Jonglei,Northern Bahr El Ghazal,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_32,National Disaster Declaration
32,234,20241003,South Sudan, Upper Nile,Northern Bahr El Ghazal,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_32,National Disaster Declaration
32,234,20241003,South Sudan, Unity,Northern Bahr El Ghazal,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_32,National Disaster Declaration
32,234,20241003,South Sudan, Warrap,Northern Bahr El Ghazal,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_32,National Disaster Declaration
32,234,20241003,South Sudan, Northern Bahr El Ghazal,Northern Bahr El Ghazal,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_32,National Disaster Declaration
32,234,20241003,South Sudan, Abyei),Northern Bahr El Ghazal,"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_32,National Disaster Declaration
33,234,20241003,South Sudan,Nationwide (Jonglei,Abyei),"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_33,National Disaster Declaration
